data,horario,tbs,umidade,globo,itgu,itu,orvalho
2021-02-22,00:00:01,22.690000000000001,96.5,22,71.457440333268181,72.549999999999997,22.104000925744973
2021-02-22,00:10:00,22.600000000000001,96.769999999999996,22,71.441682534140767,72.409999999999997,22.060229261502155
2021-02-22,00:20:00,22.609999999999999,96.709999999999994,22,71.441604580794873,72.420000000000002,22.060012724430205
2021-02-22,00:30:00,22.550000000000001,97.310000000000002,22,71.456621562562901,72.379999999999995,22.101726562674738
2021-02-22,00:40:00,22.489999999999998,97.650000000000006,21.5,70.955696600402689,72.290000000000006,22.099157223340779
2021-02-22,00:50:00,22.530000000000001,98.010000000000005,21.5,70.991806471790341,72.400000000000006,22.199462421639847
2021-02-22,01:00:00,22.41,98.290000000000006,21.5,70.965568752892239,72.209999999999994,22.126579869145086
2021-02-22,01:10:00,22.350000000000001,99.140000000000001,21.5,70.994901866755626,72.159999999999997,22.208060740987861
2021-02-22,01:20:00,22.359999999999999,99.540000000000006,21.5,71.022314492200096,72.209999999999994,22.284206922778043
2021-02-22,01:30:00,22.199999999999999,99.519999999999996,21.5,70.963559978478855,71.920000000000002,22.120999940219047
2021-02-22,01:40:00,22.050000000000001,100.63,21.5,70.975104555317543,71.730000000000004,22.153068209215391
2021-02-22,01:50:00,21.940000000000001,100.79000000000001,21.5,70.944856930435805,71.549999999999997,22.069047028988322
2021-02-22,02:00:00,21.920000000000002,101.14,21,70.458127085832189,71.540000000000006,22.105908571756068
2021-02-22,02:10:00,21.93,101.63,21,70.490298272302383,71.590000000000003,22.195272978617723
2021-02-22,02:20:00,21.84,101.97,21,70.477570513086647,71.459999999999994,22.159918091907343
2021-02-22,02:30:00,21.789999999999999,102.13,21,70.468791626820206,71.379999999999995,22.135532296722776
2021-02-22,02:40:00,21.829999999999998,102.09999999999999,21,70.481492558934917,71.450000000000003,22.170812663708126
2021-02-22,02:50:00,21.809999999999999,102.18000000000001,21,70.478903449969096,71.420000000000002,22.163620694358585
2021-02-22,03:00:00,21.739999999999998,102.83,21,70.491113124979833,71.329999999999998,22.197536458277305
2021-02-22,03:10:00,21.550000000000001,102.8,21,70.42075396363289,71,22.002094343424695
2021-02-22,03:20:00,21.73,103.14,21,70.505299923981852,71.329999999999998,22.23694423328293
2021-02-22,03:30:00,21.530000000000001,102.86,21,70.416973683978483,70.959999999999994,21.991593566606873
2021-02-22,03:40:00,21.469999999999999,103.29000000000001,21,70.419920146466424,70.870000000000005,21.999778184628969
2021-02-22,03:50:00,21.329999999999998,103.20999999999999,21,70.364748951724053,70.609999999999999,21.84652486590015
2021-02-22,04:00:00,21.289999999999999,103.95,21,70.392426681239257,70.579999999999998,21.923407447886827
2021-02-22,04:10:00,21.370000000000001,104.15000000000001,20.5,69.932714232588225,70.75,22.035317312745065
2021-02-22,04:20:00,21.32,104.34,21,70.425383659564631,70.670000000000002,22.014954609901757
2021-02-22,04:30:00,21.32,105.13,21,70.469939796644525,70.719999999999999,22.138721657345901
2021-02-22,04:40:00,21.140000000000001,105.31,20.5,69.914835114982054,70.400000000000006,21.985653097172374
2021-02-22,04:50:00,21.280000000000001,106.18000000000001,20.5,70.014200918388624,70.709999999999994,22.261669217746174
2021-02-22,05:00:00,21.23,106.51000000000001,20.5,70.014419315723899,70.659999999999997,22.262275877010847
2021-02-22,05:10:00,21.27,106.48999999999999,20.5,70.027820859690593,70.719999999999999,22.299502388029442
2021-02-22,05:20:00,21.239999999999998,107.02,20.5,70.046314590096642,70.709999999999994,22.350873861379579
2021-02-22,05:30:00,21.289999999999999,107.3,20.5,70.079941167699829,70.810000000000002,22.44428102138842
2021-02-22,05:40:00,21.32,107.47,20.5,70.100216078522649,70.879999999999995,22.500600218118478
2021-02-22,05:50:00,21.920000000000002,106.39,21,70.758063425331954,71.930000000000007,22.939065070366567
2021-02-22,06:00:00,22.629999999999999,103.44,22,71.847841670315148,73.010000000000005,23.188449084208727
2021-02-22,06:10:00,23.640000000000001,97.909999999999997,24,73.884324557683982,74.349999999999994,23.289790438011043
2021-02-22,06:20:00,24.989999999999998,90.260000000000005,25.5,75.381636776319908,75.959999999999994,23.282324378666406
2021-02-22,06:30:00,25.93,85.890000000000001,27,76.918764452145609,77.069999999999993,23.385456811515592
2021-02-22,06:40:00,26.699999999999999,82.530000000000001,28,77.951922885552847,77.939999999999998,23.477563570980131
2021-02-22,06:50:00,27.140000000000001,80.25,29,78.939071000399395,78.370000000000005,23.441863889998345
2021-02-22,07:00:00,27.84,76.879999999999995,30,79.927553100855562,79.049999999999997,23.409869724598792
2021-02-22,07:10:00,28.640000000000001,73.140000000000001,31,80.907837150938249,79.780000000000001,23.355103197050695
2021-02-22,07:20:00,30.34,67.459999999999994,31.5,81.510564689927421,81.489999999999995,23.640457472020604
2021-02-22,07:30:00,29.379999999999999,70.290000000000006,32,81.926231258083419,80.5,23.406197939120599
2021-02-22,07:40:00,29.670000000000002,67.599999999999994,32.5,82.293361401482287,80.530000000000001,23.037115004117457
2021-02-22,07:50:00,31.370000000000001,60.18,33.5,83.180692589096253,81.790000000000006,22.724146080822919
2021-02-22,08:00:00,31.989999999999998,56.890000000000001,33.5,83.056019501267855,82.090000000000003,22.377831947966275
2021-02-22,08:10:00,31.780000000000001,54.509999999999998,34,83.233635636997164,81.390000000000001,21.482321213881008
2021-02-22,08:20:00,32.409999999999997,51.609999999999999,34.5,83.621924161889723,81.730000000000004,21.17201156080478
2021-02-22,08:30:00,32.130000000000003,50.979999999999997,35.5,84.457316120125682,81.25,20.714767000349095
